Compound ID,smiles,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,ESOL predicted log solubility in mols per litre,LogP,AromaticProportion,FluorineAtoms,ChlorineAtoms,BromineAtoms,IodineAtoms,TotalHalogenAtoms
1-Pentene ,CCCC=C,1,70.135,0,0,2,0.0,-2.68,-2.01,1.9725,0.0,0.0,0.0,0.0,0.0,0.0
Primidone,CCC1(C(=O)NCNC1=O)c2ccccc2,1,218.256,2,2,2,58.2,-2.64,-1.897,0.5378999999999994,0.375,0.0,0.0,0.0,0.0,0.0
Tetradecane,CCCCCCCCCCCCCC,1,198.394,0,0,11,0.0,-7.96,-5.45,5.707400000000006,0.0,0.0,0.0,0.0,0.0,0.0
2-Chloropropane,CC(C)Cl,1,78.542,0,0,0,0.0,-1.41,-1.585,1.6336,0.0,0.0,1.0,0.0,0.0,1.0
2-Methylbutanol,CCC(C)CO,1,88.15,1,0,2,20.23,-0.47,-1.027,1.0248,0.0,0.0,0.0,0.0,0.0,0.0
Benzonitrile,N#Cc1ccccc1,1,103.124,0,1,0,23.79,-1.0,-2.03,1.5582799999999999,0.75,0.0,0.0,0.0,0.0,0.0
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,1,304.352,0,1,7,53.47,-3.64,-3.989,3.5847200000000026,0.3157894736842105,0.0,0.0,0.0,0.0,0.0
2-Undecanol,CCCCCCCCCC(C)O,1,172.312,1,0,8,20.23,-2.94,-3.096,3.5079000000000025,0.0,0.0,0.0,0.0,0.0,0.0
"2,2',3,4,6-PCB",Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,1,326.437,0,2,1,0.0,-7.43,-6.627,6.620600000000001,0.7058823529411765,0.0,5.0,0.0,0.0,5.0
Lenacil,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,1,234.299,1,3,1,54.86,-4.594,-3.355,1.5305,0.35294117647058826,0.0,0.0,0.0,0.0,0.0
Phorate,CCOP(=S)(OCC)SCSCC,1,260.386,0,0,8,18.46,-4.11,-3.747,3.727700000000003,0.0,0.0,0.0,0.0,0.0,0.0
Phenacetin,CCOc1ccc(NC(=O)C)cc1,1,179.219,1,1,3,38.33,-2.35,-2.342,2.0437,0.46153846153846156,0.0,0.0,0.0,0.0,0.0
Dinitramine,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,1,322.243,1,1,5,115.54,-5.47,-4.479,2.9502000000000006,0.2727272727272727,3.0,0.0,0.0,0.0,3.0
1-Heptanol,CCCCCCCO,1,116.204,1,0,5,20.23,-1.81,-1.751,1.9491,0.0,0.0,0.0,0.0,0.0,0.0
Theophylline,Cn1c(=O)n(C)c2nc[nH]c2c1=O,1,180.167,1,2,0,72.68,-1.39,-1.452,-1.039700000000001,0.6923076923076923,0.0,0.0,0.0,0.0,0.0
Butethal,CCCCC1(CC)C(=O)NC(=O)NC1=O,1,212.249,2,1,4,75.27,-1.661,-1.974,0.9389999999999998,0.0,0.0,0.0,0.0,0.0,0.0
"P,P'-DDE",ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,1,318.03,0,2,2,0.0,-6.9,-6.553,6.187900000000003,0.6666666666666666,0.0,4.0,0.0,0.0,4.0
Methyl octanoate,CCCCCCCC(=O)OC,1,158.241,0,0,6,26.3,-3.17,-2.608,2.5199000000000007,0.0,0.0,0.0,0.0,0.0,0.0
"1,4-Diethylbenzene ",CCc1ccc(CC)cc1,1,134.222,0,1,2,0.0,-3.75,-3.633,2.811400000000001,0.6,0.0,0.0,0.0,0.0,0.0
Terbufos,CCOP(=S)(OCC)SCSC(C)(C)C,1,288.44,0,0,7,18.46,-4.755,-4.367,4.506300000000004,0.0,0.0,0.0,0.0,0.0,0.0
Phenmedipham,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,1,300.314,2,2,3,76.66,-4.805,-4.229,3.784220000000002,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
"1,1-Dichloroethylene",ClC(=C)Cl,1,96.944,0,0,0,0.0,-1.64,-1.939,1.9352,0.0,0.0,2.0,0.0,0.0,2.0
1-Methylfluorene,Cc1cccc2c1Cc3ccccc32,1,180.25,0,3,0,0.0,-5.22,-4.478,3.566220000000002,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
Valeraldehyde,CCCCC=O,1,86.134,0,0,3,17.07,-0.85,-1.103,1.3755,0.0,0.0,0.0,0.0,0.0,0.0
Diphenylamine,N(c1ccccc1)c2ccccc2,2,169.227,1,2,2,12.03,-3.504,-3.857,3.430200000000002,0.9230769230769231,0.0,0.0,0.0,0.0,0.0
Fenothiocarb,CN(C)C(=O)SCCCCOc1ccccc1,1,253.367,0,1,6,29.54,-3.927,-3.297,3.2604000000000024,0.35294117647058826,0.0,0.0,0.0,0.0,0.0
Piperophos,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,1,353.49,0,1,9,38.77,-4.15,-4.637,4.198300000000004,0.0,0.0,0.0,0.0,0.0,0.0
1-Iodoheptane,CCCCCCCI,1,226.101,0,0,5,0.0,-4.81,-3.904,3.3918000000000026,0.0,0.0,0.0,0.0,1.0,1.0
3-Chlorobiphenyl,c1c(Cl)cccc1c2ccccc2,1,188.657,0,2,1,0.0,-4.88,-4.685,4.007000000000002,0.9230769230769231,0.0,1.0,0.0,0.0,1.0
4-Pentene-1-ol,OCCCC=C,1,86.134,1,0,3,20.23,-0.15,-0.791,0.9449,0.0,0.0,0.0,0.0,0.0,0.0
Cyclobutyl-5-spirobarbituric acid,O=C2NC(=O)C1(CCC1)C(=O)N2,1,168.152,2,2,0,75.27,-1.655,-0.527,-0.4773,0.0,0.0,0.0,0.0,0.0,0.0
menthol,CC(C)C1CCC(C)CC1O ,1,156.269,1,1,1,20.23,-2.53,-2.782,2.439500000000001,0.0,0.0,0.0,0.0,0.0,0.0
Isopropyl formate,CC(C)OC=O,1,88.106,0,0,2,26.3,-0.63,-0.684,0.5678,0.0,0.0,0.0,0.0,0.0,0.0
2-Heptanol ,CCCCCC(C)O,1,116.204,1,0,4,20.23,-1.55,-1.678,1.9475000000000002,0.0,0.0,0.0,0.0,0.0,0.0
p-Bromoacetanilide,CC(=O)Nc1ccc(Br)cc1,1,214.062,1,1,1,29.1,-3.083,-3.012,2.4074999999999998,0.5454545454545454,0.0,0.0,1.0,0.0,1.0
brompyrazone,c1ccccc1n2ncc(N)c(Br)c2(=O),1,266.098,1,2,1,60.91,-3.127,-3.005,1.5771999999999997,0.8,0.0,0.0,1.0,0.0,1.0
nifedipine,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,1,346.339,1,2,4,107.77,-4.76,-4.248,2.1756,0.24,0.0,0.0,0.0,0.0,0.0
"2,7-dimethylquinoline",c2c(C)cc1nc(C)ccc1c2 ,1,157.216,0,2,0,12.89,-1.94,-3.342,2.8516400000000006,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
1-Octyne ,CCCCCCC#C,1,110.2,0,0,4,0.0,-3.66,-2.509,2.5900000000000007,0.0,0.0,0.0,0.0,0.0,0.0
cyclobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,1,236.271,2,2,2,75.27,-2.17,-2.421,1.2491999999999999,0.0,0.0,0.0,0.0,0.0,0.0
Chrysene,c1ccc2c(c1)ccc3c4ccccc4ccc23,2,228.294,0,4,0,0.0,-8.057,-5.568,5.146200000000003,1.0,0.0,0.0,0.0,0.0,0.0
Bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,1,261.119,1,1,2,54.86,-2.523,-3.419,1.5785200000000001,0.42857142857142855,0.0,0.0,1.0,0.0,1.0
"2,2',3,3',5,6-PCB",Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,1,360.882,0,2,1,0.0,-8.6,-7.185,7.274000000000001,0.6666666666666666,0.0,6.0,0.0,0.0,6.0
2-Methylphenol,Cc1ccccc1O,1,108.14,1,1,0,20.23,-0.62,-2.281,1.70062,0.75,0.0,0.0,0.0,0.0,0.0
"2,2,5-Trimethylhexane",CC(C)CCC(C)(C)C,1,128.259,0,0,2,0.0,-5.05,-3.631,3.468700000000003,0.0,0.0,0.0,0.0,0.0,0.0
"1,4-Dimethylnaphthalene ",Cc1ccc(C)c2ccccc12,1,156.228,0,2,0,0.0,-4.14,-4.147,3.456640000000002,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
6-Methylchrysene,Cc1cc2c3ccccc3ccc2c4ccccc14,1,242.321,0,4,0,0.0,-6.57,-5.931,5.454620000000004,0.9473684210526315,0.0,0.0,0.0,0.0,0.0
2-Pentanone,CCCC(=O)C,1,86.134,0,0,2,17.07,-0.19,-0.846,1.3755,0.0,0.0,0.0,0.0,0.0,0.0
"2,2',3,3',5,5',6,6'-PCB",Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,1,429.772,0,2,1,0.0,-9.15,-8.304,8.580799999999998,0.6,0.0,8.0,0.0,0.0,8.0
Methyl butyrate,CCCOC(=O)CC,1,116.16,0,0,3,26.3,-0.82,-1.545,1.3496000000000001,0.0,0.0,0.0,0.0,0.0,0.0
Triamcinolone,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,1,394.439,4,4,2,115.06,-3.68,-2.734,0.6204999999999998,0.0,1.0,0.0,0.0,0.0,1.0
p-Aminophenol,Nc1ccc(O)cc1,1,109.128,2,1,0,46.25,-0.8,-1.231,0.9743999999999999,0.75,0.0,0.0,0.0,0.0,0.0
Benznidazole,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,1,260.253,1,2,5,90.06,-2.81,-2.321,1.1077,0.5789473684210527,0.0,0.0,0.0,0.0,0.0
"Atovaquone(0,430mg/ml) - neutral",OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,1,366.844,1,4,2,54.37,-5.931,-6.269,5.505100000000005,0.46153846153846156,0.0,1.0,0.0,0.0,1.0
Trietazine,CCNc1nc(Cl)nc(n1)N(CC)CC,1,229.715,1,1,5,53.94,-4.06,-3.233,1.803,0.4,0.0,1.0,0.0,0.0,1.0
Pyrazinamide,NC(=O)c1cnccn1,1,123.115,1,1,1,68.87,-0.667,-0.674,-0.4245000000000001,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
Carbromal,CCC(Br)(CC)C(=O)NC(N)=O,1,237.097,2,0,3,72.19,-2.68,-2.198,1.1349999999999998,0.0,0.0,0.0,1.0,0.0,1.0
"2,2'-PCB",Clc1ccccc1c2ccccc2Cl ,1,223.102,0,2,1,0.0,-5.27,-4.984,4.660400000000002,0.8571428571428571,0.0,2.0,0.0,0.0,2.0
nitrofurantoin,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,1,238.159,1,2,3,118.05,-3.38,-1.243,0.07349999999999995,0.29411764705882354,0.0,0.0,0.0,0.0,0.0
Nitrofen,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,1,284.098,0,2,3,52.37,-5.46,-5.361,4.693900000000003,0.6666666666666666,0.0,2.0,0.0,0.0,2.0
Camphor,CC1(C)C2CCC1(C)C(=O)C2,1,152.237,0,2,0,17.07,-1.96,-2.158,2.401700000000001,0.0,0.0,0.0,0.0,0.0,0.0
5-Allyl-5-phenylbarbital,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,1,244.25,2,2,3,75.27,-2.369,-2.36,0.8664999999999998,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
Pentyl propanoate,CCCCC(=O)OCC,1,130.187,0,0,4,26.3,-2.25,-1.899,1.7397,0.0,0.0,0.0,0.0,0.0,0.0
Isopentyl acetate,CC(C)CCOC(=O)C,1,130.187,0,0,3,26.3,-1.92,-1.817,1.5956000000000001,0.0,0.0,0.0,0.0,0.0,0.0
3-Hexanoyloxymethylphenyltoin,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,380.444,1,3,8,75.71,-5.886,-4.153,3.5630000000000024,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
"2,3',5-PCB",Clc1cccc(c1)c2cc(Cl)ccc2Cl ,1,257.547,0,2,1,0.0,-6.01,-5.762,5.313800000000001,0.8,0.0,3.0,0.0,0.0,3.0
1-Bromopropane,CCCBr,1,122.993,0,0,1,0.0,-1.73,-1.949,1.7913000000000001,0.0,0.0,0.0,1.0,0.0,1.0
Propiconazole,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,1,342.226,0,3,5,49.17,-3.493,-4.603,3.653400000000003,0.5,0.0,2.0,0.0,0.0,2.0
Formothion,COP(=S)(OC)SCC(=O)N(C)C=O,1,257.273,0,0,6,55.84,-1.995,-2.087,0.8516999999999999,0.0,0.0,0.0,0.0,0.0,0.0
4-methylpteridine,Cc1ncnc2nccnc12,1,146.153,0,2,0,51.56,-0.466,-1.24,0.7282199999999999,0.9090909090909091,0.0,0.0,0.0,0.0,0.0
Thiourea,NC(=S)N,1,76.124,2,0,0,52.04,0.32,0.329,-0.8113000000000001,0.0,0.0,0.0,0.0,0.0,0.0
p-Xylene ,Cc1ccc(C)cc1,1,106.168,0,1,0,0.0,-2.77,-3.035,2.30344,0.75,0.0,0.0,0.0,0.0,0.0
"1,2-Diethylbenzene",CCc1ccccc1CC,1,134.222,0,1,2,0.0,-3.28,-3.601,2.811400000000001,0.6,0.0,0.0,0.0,0.0,0.0
Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,1,236.74,0,0,0,0.0,-3.67,-4.215,3.7268,0.0,0.0,6.0,0.0,0.0,6.0
Flucythrinate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,1,451.469,0,3,9,68.55,-6.876,-6.878,6.627980000000005,0.5454545454545454,2.0,0.0,0.0,0.0,2.0
1-Nitropropane,CCCN(=O)=O,1,89.094,0,0,2,43.14,-0.8,-0.816,0.6731,0.0,0.0,0.0,0.0,0.0,0.0
Menthone,CC(C)C1CCC(C)CC1=O,1,154.253,0,1,1,17.07,-2.35,-2.516,2.6477000000000013,0.0,0.0,0.0,0.0,0.0,0.0
RTI 24,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,1,273.723,1,3,1,45.23,-5.36,-4.423,3.458700000000001,0.631578947368421,0.0,1.0,0.0,0.0,1.0
"2,3-Dichloronitrobenzene",O=N(=O)c1c(Cl)c(Cl)ccc1,1,192.001,0,1,1,43.14,-3.48,-3.322,2.901600000000001,0.5454545454545454,0.0,2.0,0.0,0.0,2.0
thiamylal,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,1,254.355,2,1,5,58.2,-3.46,-3.063,1.5159999999999998,0.0,0.0,0.0,0.0,0.0,0.0
Fluoranthene,c1ccc2c(c1)c3cccc4cccc2c34,2,202.256,0,4,0,0.0,-6.0,-4.957,4.487200000000002,1.0,0.0,0.0,0.0,0.0,0.0
Propylisopropylether,CCCOC(C)C,1,102.177,0,0,3,9.23,-1.34,-1.354,1.8214000000000001,0.0,0.0,0.0,0.0,0.0,0.0
"1,3-Dimethylnaphthalene",Cc1cc(C)c2ccccc2c1,1,156.228,0,2,0,0.0,-4.29,-4.147,3.456640000000002,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
diethylstilbestrol,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,1,268.356,2,2,4,40.46,-4.07,-5.074,4.828600000000005,0.6,0.0,0.0,0.0,0.0,0.0
Chlorothalonil,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,1,265.914,0,1,0,47.58,-5.64,-3.995,4.043559999999999,0.42857142857142855,0.0,4.0,0.0,0.0,4.0
"2,3',4',5-PCB",Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,1,291.992,0,2,1,0.0,-7.25,-6.312,5.967200000000002,0.75,0.0,4.0,0.0,0.0,4.0
styrene oxide,C1OC1c2ccccc2 ,2,120.151,0,2,1,12.53,-1.6,-1.826,1.7579,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
Isopropylbenzene ,CC(C)c1ccccc1,1,120.195,0,1,1,0.0,-3.27,-3.265,2.8100000000000014,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
Deoxycorticosterone,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,1,330.468,1,4,2,54.37,-3.45,-3.939,3.695900000000003,0.0,0.0,0.0,0.0,0.0,0.0
chlorquinox,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,1,267.93,0,2,0,25.78,-5.43,-4.438,4.2434,0.7142857142857143,0.0,4.0,0.0,0.0,4.0
L-arabinose,C1OC(O)C(O)C(O)C1O,1,150.13,4,1,0,90.15,0.39,0.601,-2.5823000000000005,0.0,0.0,0.0,0.0,0.0,0.0
Dichloromethane,ClCCl,1,84.933,0,0,0,0.0,-0.63,-1.156,1.4215,0.0,0.0,2.0,0.0,0.0,2.0
1-Ethylnaphthalene ,CCc1cccc2ccccc12,1,156.228,0,2,1,0.0,-4.17,-4.1,3.4022000000000023,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
Methyl formate,COC=O,1,60.052,0,0,1,26.3,0.58,-0.048,-0.2108000000000001,0.0,0.0,0.0,0.0,0.0,0.0
o-Nitrophenol,Oc1ccccc1N(=O)=O,1,139.11,1,1,1,63.37,-1.74,-2.318,1.3004000000000002,0.6,0.0,0.0,0.0,0.0,0.0
thymine,Cc1c[nH]c(=O)[nH]c1=O ,1,126.115,2,1,0,65.72,-1.506,-0.78,-0.6283800000000002,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
2-Methylpropane,CC(C)C,1,58.124,0,0,0,0.0,-2.55,-1.891,1.6622999999999999,0.0,0.0,0.0,0.0,0.0,0.0
Inosine,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,1,268.229,4,3,2,133.75,-1.23,-0.834,-1.8566000000000003,0.47368421052631576,0.0,0.0,0.0,0.0,0.0
Ioxynil,Oc1c(I)cc(C#N)cc1I,1,370.915,1,1,0,44.02,-3.61,-4.615,2.4730799999999995,0.5454545454545454,0.0,0.0,0.0,2.0,2.0
Niclosamide,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,1,327.123,2,2,3,92.47,-4.7,-5.032,3.8595000000000006,0.5714285714285714,0.0,2.0,0.0,0.0,2.0
Pentane,CCCCC,1,72.151,0,0,2,0.0,-3.18,-2.261,2.1965000000000003,0.0,0.0,0.0,0.0,0.0,0.0
Phenol,c1ccccc1O,1,94.113,1,1,0,20.23,0.0,-1.991,1.3922,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
2-aminoanthracene,Nc3ccc2cc1ccccc1cc2c3 ,1,193.249,1,3,0,26.02,-5.17,-3.789,3.5752000000000015,0.9333333333333333,0.0,0.0,0.0,0.0,0.0
theobromine,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,1,180.167,1,2,0,72.68,-2.523,-1.05,-1.0397,0.6923076923076923,0.0,0.0,0.0,0.0,0.0
Isoquinoline,c1ccc2cnccc2c1,2,129.162,0,2,0,12.89,-1.45,-2.531,2.2348,1.0,0.0,0.0,0.0,0.0,0.0
Anilofos,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,1,367.86,0,1,7,38.77,-4.432,-5.106,4.331900000000004,0.2857142857142857,0.0,1.0,0.0,0.0,1.0
Hexylbenzene ,CCCCCCc1ccccc1,1,162.276,0,1,5,0.0,-5.21,-4.22,3.809400000000003,0.5,0.0,0.0,0.0,0.0,0.0
2-Chlorobiphenyl,Clc1ccccc1c2ccccc2,1,188.657,0,2,1,0.0,-4.54,-4.528,4.007000000000002,0.9230769230769231,0.0,1.0,0.0,0.0,1.0
2-Methyl-1-Pentene,CCCC(=C)C,1,84.162,0,0,2,0.0,-3.03,-2.348,2.3626000000000005,0.0,0.0,0.0,0.0,0.0,0.0
"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,1,114.232,0,0,2,0.0,-4.8,-3.276,2.9345000000000017,0.0,0.0,0.0,0.0,0.0,0.0
Pentachlorobenzene,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,1,250.339,0,1,0,0.0,-5.65,-5.168,4.9536,0.5454545454545454,0.0,5.0,0.0,0.0,5.0
m-Nitrophenol,Oc1cccc(c1)N(=O)=O,1,139.11,1,1,1,63.37,-1.01,-2.318,1.3003999999999998,0.6,0.0,0.0,0.0,0.0,0.0
1-Decene,CCCCCCCCC=C,1,140.27,0,0,7,0.0,-5.51,-3.781,3.9230000000000036,0.0,0.0,0.0,0.0,0.0,0.0
Glyceryl triacetate,CC(=O)OCC(COC(=O)C)OC(=O)C,1,218.205,0,0,5,78.9,-0.6,-1.285,0.044299999999999784,0.0,0.0,0.0,0.0,0.0,0.0
dimethirimol,CCCCc1c(C)nc(nc1O)N(C)C ,1,209.293,1,1,4,49.25,-2.24,-3.57,1.89922,0.4,0.0,0.0,0.0,0.0,0.0
Cyfluthrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,1,434.294,0,3,6,59.32,-7.337,-6.84,6.317080000000003,0.41379310344827586,1.0,2.0,0.0,0.0,3.0
Pyridine,c1ccncc1,2,79.102,0,1,0,12.89,0.76,-1.481,1.0816,1.0,0.0,0.0,0.0,0.0,0.0
1-Bromoheptane,CCCCCCCBr,1,179.101,0,0,5,0.0,-4.43,-3.366,3.351700000000002,0.0,0.0,0.0,1.0,0.0,1.0
"3,4-Dimethylpyridine",Cc1ccncc1C,1,107.156,0,1,0,12.89,0.36,-2.067,1.69844,0.75,0.0,0.0,0.0,0.0,0.0
Fludrocortisone,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,1,380.456,3,4,2,94.83,-3.43,-3.172,1.8737,0.0,1.0,0.0,0.0,0.0,1.0
ethiofencarb,CCSCc1ccccc1OC(=O)NC ,1,225.313,1,1,4,38.33,-2.09,-2.855,2.6579000000000006,0.4,0.0,0.0,0.0,0.0,0.0
Malonic acid diethylester,CCOC(=O)CC(=O)OCC,1,160.169,0,0,4,52.6,-0.82,-1.413,0.5027,0.0,0.0,0.0,0.0,0.0,0.0
d-Limonene,CC1=CCC(CC1)C(C)=C,1,136.238,0,1,1,0.0,-4.26,-3.429,3.308900000000002,0.0,0.0,0.0,0.0,0.0,0.0
Indan,C1Cc2ccccc2C1,2,118.179,0,2,0,0.0,-3.04,-3.057,2.1753,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
p-t-Butylphenol,CC(C)(C)c1ccc(O)cc1,1,150.221,1,1,0,20.23,-2.41,-3.192,2.689700000000001,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
Cyclopropyl-5-spirobarbituric acid,O=C2NC(=O)C1(CC1)C(=O)N2 ,1,154.125,2,2,0,75.27,-1.886,-0.088,-0.8674000000000002,0.0,0.0,0.0,0.0,0.0,0.0
m-Chloroiodobenzene,Clc1cccc(I)c1,1,238.455,0,1,0,0.0,-3.55,-4.384,2.9446000000000003,0.75,0.0,1.0,0.0,1.0,2.0
1-Bromonapthalene,Brc1cccc2ccccc12,1,207.07,0,2,0,0.0,-4.35,-4.434,3.6023000000000014,0.9090909090909091,0.0,0.0,1.0,0.0,1.0
trans-2-Pentene ,CC/C=C/C,1,70.135,0,0,1,0.0,-2.54,-2.076,1.9725,0.0,0.0,0.0,0.0,0.0,0.0
"2,6-Dimethylpyridine",Cc1cccc(C)n1,1,107.156,0,1,0,12.89,0.45,-2.098,1.69844,0.75,0.0,0.0,0.0,0.0,0.0
Trichloroethylene,ClC=C(Cl)Cl,1,131.389,0,0,0,0.0,-1.96,-2.312,2.5017000000000005,0.0,0.0,3.0,0.0,0.0,3.0
1-Napthylamine,Nc1cccc2ccccc12,1,143.189,1,2,0,26.02,-1.92,-2.721,2.4220000000000006,0.9090909090909091,0.0,0.0,0.0,0.0,0.0
m-Xylene ,Cc1cccc(C)c1,1,106.168,0,1,0,0.0,-2.82,-3.035,2.30344,0.75,0.0,0.0,0.0,0.0,0.0
2-hydroxypteridine,Oc2ncc1nccnc1n2,1,148.125,1,2,0,71.79,-1.947,-1.404,0.1253999999999998,0.9090909090909091,0.0,0.0,0.0,0.0,0.0
Methanol,CO,1,32.042,1,0,0,20.23,1.57,0.441,-0.3915,0.0,0.0,0.0,0.0,0.0,0.0
Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,1,226.276,2,1,4,75.27,-2.468,-2.312,1.1849999999999998,0.0,0.0,0.0,0.0,0.0,0.0
2-Butanone,CCC(=O)C,1,72.107,0,0,1,17.07,0.52,-0.491,0.9854,0.0,0.0,0.0,0.0,0.0,0.0
